Section,#,Phone,Status,Price/Info,Contact Attempts,Notes
DASHBOARD SUPPLIERS (30 Contacts),1,+233 24 450 9113,Inquiry Sent,Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),2,+233 54 046 1152,Inquiry Sent (2026-05-07 10:45),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),3,+233 24 343 2493,Inquiry Sent (2026-05-08 09:17),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),4,+233 24 002 5796,Inquiry Sent (2026-05-09 08:16),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),5,+233 24 813 0060,Inquiry Sent (2026-05-11 08:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),6,+233 24 353 3034,Inquiry Sent (2026-05-12 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),7,+233 24 332 5066,Inquiry Sent (2026-05-12 21:14 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),8,+233 24 420 8878,Inquiry Sent (2026-05-13 12:17 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),9,+233 24 463 2343,Inquiry Sent (2026-05-15 19:17 UTC),Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),10,+233 54 653 4329,Contacted,Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),11,+233 54 398 9467,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),12,+233 54 063 6111,Inquiry Sent (2026-05-19 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),13,+233 24 351 4280,Inquiry Sent (2026-05-20 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),14,+233 24 498 2721,Inquiry Sent (2026-05-23 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),15,+233 55 941 8753,Inquiry Sent (2026-05-27 12:00 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),16,+233 24 453 9096,Inquiry Sent (2026-05-28 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),17,+233 54 203 7109,Inquiry Sent (2026-05-29 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),18,+233 59 847 6427,Inquiry Sent (2026-05-30 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),19,+233 27 632 8297,Inquiry Sent (2026-06-02 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),20,+233 54 457 3042,Inquiry Sent (2026-06-03 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),21,+233 24 071 7024,Inquiry Sent (2026-06-04 09:16 UTC),Unknown,TBD,1
DASHBOARD SUPPLIERS (30 Contacts),22,+233 26 220 3611,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),23,+233 54 251 7905,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),24,+233 55 720 5676,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),25,+233 55 572 0391,CONFIRMED,YES,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),26,+233 50 018 9537,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),27,+233 24 805 4190,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),28,+233 24 702 3693,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),29,+233 55 460 0706,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),30,+233 59 401 4633,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),31,+233 26 884 1450,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),32,+233 53 384 8444,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),33,+233 24 841 7896,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),34,+233 59 941 8463,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),35,+233 53 012 1872,QUOTED,YES,"6,000 GHS",1
DASHBOARD SUPPLIERS (30 Contacts),36,+233 55 311 6757,Pending,Unknown,TBD,0
DASHBOARD SUPPLIERS (30 Contacts),37,+233 55 366 9408,Pending,Unknown,TBD,0
STEERING RACK SUPPLIERS (Right-to-Left Conversion),1,+233 24 709 4333,Contacted (2026-04-01 10:00 UTC),TBD,TBD,TBD
STEERING RACK SUPPLIERS (Right-to-Left Conversion),2,+233 53 093 9891,QUOTED,"1,700 GHS",300 GHS,"2,000 GHS"
STEERING RACK SUPPLIERS (Right-to-Left Conversion),3,+233 24 514 2732,Pending,TBD,TBD,TBD
STEERING RACK SUPPLIERS (Right-to-Left Conversion),4,+233 24 835 5104,Pending,TBD,TBD,TBD
STEERING RACK SUPPLIERS (Right-to-Left Conversion),5,+233 59 424 8011,NOTED,N/A,N/A,N/A
